abbreviated_form,long_form
0,zero
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
10,ten
11,eleven
12,twelve
13,thirteen
14,fourteen
15,fifteen
16,sixteen
17,seventeen
18,eighteen
19,nineteen
20,twenty
30,thirty
40,forty
50,fifty
60,sixty
70,seventy
80,eighty
90,ninety
100,hundred
Acc,Access
Airp,Airport
Airpt,Airport
Al,Alley
Allee,Drive
Aly,Alley
App,Appartement
Appartement,Apartment
Apt,Apartment
Aut,Autoroute
Autoroute,Highway
Av,Avenue
Ave,Avenue
basem,Basement
BC,British Columbia
Bch,Beach
Bd,Boulevard
Bkwr,Breakwater
Bl,Boulevard
Bldg,Building
Blv,Boulevard
Blvd,Boulevard
Boul,Boulevard
Brg,Bridge
British Columbia,BC
Brk,Brook
Bsmnt,Basement
Bsmt,Basement
Bu,Boulevard
Bur,Bureau
Bureau,Suite
Bv,Boulevard
Byp,Bypass
C,Central
Campgrnd,Campground
Capt,Captain
Car,Carre
Carre,Square
Carref,Carrefour
Carrefour,Crossing
Causeway,Cswy
CB,BC
Cds,Cul-de-sac
Cemtry,Cemetery
Cercle,Circle
Ch,Chemin
Chemin,Road
Chwk,Chilliwack
Ci,Circle
Cinquieme,5
Cir,Circle
Circ,Circle
Circt,Circuit
Ck,Creek
Cl,Close
Clo,Close
Cls,Close
Conc,Concession
Conn,Connector
Cour,Court
Cours,Path
Cpt,Captain
Cr,Crescent
Crcl,Circle
Cre,Crescent
Cres,Crescent
Crk,Creek
Crl,Circle
Crnrs,Corners
Crois,Croissant
Croissant,Crescent
Crossing,Xing
Crt,Court
Ct,Court
Ctr,Centre
Cv,Cove
Deuxieme,2
Dist,District
Div,Diversion
Divers,Diversion
Dixieme,10
Douzieme,12
Dr,Drive
Dri,Drive
Drv,Drive
Dvrs,Diversion
E,East
Eighteenth,18
Eighth,8
Eleventh,11
Esp,Esplanade
Espl,Esplanade
Est,East
Estate,Estates
Ests,Estates
Etage,Floor
Expy,Expressway
Ext,Extended
Ext,Extension
Exten,Extension
Extn,Extension
Exts,Extension
Fifteenth,15
Fifth,5
First,1
Fks,Forks
Fl,Floor
Flr,Floor
Fls,Falls
Fourteenth,14
Fourth,4
Frntg,Frontage
Front,Frontage
Frt,Frontage
Frtg,Frontage
Frw,Freeway
Frwy,Freeway
Ft,Fort
Fw,Freeway
Fwy,Freeway
Gdn,Garden
Gdns,Gardens
Glcr,Glacier
Gln,Glen
Govt,Government
Gr,Grove
Grnds,Grounds
Gt,Gate
Harbr,Harbour
Hbr,Harbour
Hd,Head
Hghlds,Highlands
Hghts,Heights
Hghwy,Highway
Hgld,Highlands
Hgwy,Highway
Hiway,Highway
Ht,Height
Hts,Heights
Huitieme,8
Hw,Highway
Hway,Highway
Hwy,Highway
Hy,Highway
Ile,Island
IR,Indian Reservation
Isl,Island
Isld,Island
Jct,Junction
La,Lane
Landng,Landing
Lbby,Lobby
Lby,Lobby
Ldg,Landing
Lk,Lake
Lkout,Lookout
Lks,Lakes
Lmts,Limits
Ln,Lane
Lne,Lane
Lp,Loop
Lwr,Lower
Mezz,Mezzanine
Montee,Rise
Mt,Mount
Mtn,Mountain
Mtns,Mountains
N,North
NE,Northeast
Neuvieme,9
Nineteenth,19
Ninth,9
NO,Northwest
Nord,North
Nrs,Narrows
NW,Northwest
O,Ouest
Ok,Oak
Onzieme,11
Orch,Orchard
Ouest,West
Overps,Overpass
Ovps,Overpass
Ovrps,Overpass
Parc,Park
PH,Penthouse
Pk,Park
Pkw,Parkway
Pkwy,Parkway
Pky,Parkway
Pl,Place
Pla,Place
Plat,Plateau
Plc,Place
Plz,Plaza
Pnt,Point
Pointe,Point
Pr,Prince
Premier,1
Premiere,1
Prom,Promenade
Prt,Port
Psg,Passage
Pt,Point
Ptway,Pathway
Pvt,Private
Pw,Parkway
Pwy,Parkway
Py,Parkway
Pz,Plaza
Quai,Quay
Quatorzieme,14
Quatrieme,4
Quinzieme,15
Rang,Row
Rd,Road
Rf,Reef
Rg,Range
Riv,River
Rk,Rock
Rks,Rocks
Rm,Room
Ro,Road
Roa,Road
Rt,Route
Rte,Route
Ruelle,Alley
Rvr,River
S,South
SE,Southeast
Second,2
Seizieme,16
Sent,Sentier
Sentier,Trail
Septieme,7
Seventeenth,17
Seventh,7
Sixieme,6
Sixteenth,16
Sixth,6
Sl,Slough
Snd,Sound
SO,Southwest
Sprgs,Springs
Sq,Square
Sqr,Square
Sqre,Square
Squ,Square
St,Saint
St,Street
Stn,Station
Str,Banana
Str,Street
Strt,Street
Sub,Subdivision
Subdiv,Subdivision
Subdvsn,Subdivision
Sud,South
SW,Southwest
Tce,Terrace
Te,Terrace
Tenth,10
Ter,Terrace
Terasse,Terrace
Terr,Terrace
TH,Townhouse
Thick,Thicket
Third,3
Thirteenth,13
Thirtieth,30
Thruway,Throughway
Thwy,Throughway
Tl,Trail
Tline,Townline
Tr,Trail
Treizieme,13
Trentieme,30
Trl,Trail
Trnabt,Tournabout
Troisieme,3
Tsse,Terasse
Twelfth,12
Twentieth,20
Twnh,Townhouse
Unite,Unit
Unp,Underpass
Uppr,Upper
Upr,Upper
Vdct,Viaduct
Via,Viaduct
Viadct,Viaduct
Villge,Village
Vingtieme,20
Vlg,Village
Vly,Valley
Voie,Path
W,West
Wa,Way
Wht,White
Wk,Walk
Wrf,Wharf
Wy,Way
X,Cross
