from,to,confidence
4th of july creek,Atlin,80
9zenic view,Malahat,80
abbortsford,Langley,80
abbortsford,Township of Langley,80
abbotsford,Chilliwack,80
abbotsford,Lindell Beach,80
abbottsford,Abbotsford,80
achilles bank,Gillies Bay,80
active pass,Mayne Island,80
adamant mountain,South Kinbasket Lake,80	
adams lake,Barriere,80	
adams river,Lee Creek,80	
admiral,Salt Spring Island,80	
agats meadow,Chilanko Forks,80	
ahahswinis,Port Alberni,80	
ahaminaquus,Gold River,80	
ahbau lake,Cottonwood,80	
ahousat,Ahousaht,100	
aitchelitch,Chilliwack,80	
aiyansh,Nass Camp,80	
ajax bank,Comox,80	
akie river,Fort Ware,80	
alberni,Port Alberni,80
